iter	Passed	Remaining
950	31119	1603
951	31148	1570
952	31179	1537
953	31210	1504
954	31240	1472
955	31270	1439
956	31301	1406
957	31332	1373
958	31362	1340
959	31393	1308
960	31422	1275
961	31460	1242
962	31491	1209
963	31522	1177
964	31552	1144
965	31582	1111
966	31612	1078
967	31645	1046
968	31676	1013
969	31705	980
970	31737	947
971	31767	915
972	31796	882
973	31827	849
974	31857	816
975	31888	784
976	31917	751
977	31947	718
978	31976	685
979	32007	653
980	32038	620
981	32068	587
982	32097	555
983	32128	522
984	32159	489
985	32188	457
986	32218	424
987	32251	391
988	32280	359
989	32311	326
990	32341	293
991	32371	261
992	32400	228
993	32431	195
994	32461	163
995	32493	130
996	32523	97
997	32553	65
998	32583	32
999	32614	0
